ID,Question,科学计数法,图形的初步认识,等差数列,代数意义,绝对值,找规律,其他,反比例函数,勾股定理,非负性,分类讨论,数轴,一元二次方程,一元一次方程,不等式与不等式组,三角形,混合运算,几何,锐角三角函数,图表题,最值问题,数形结合,函数,相似,面积问题,求值问题,二次函数,参数问题,实数,多项式,整式,代入求值,一次函数,有理数,方程与方程组,倒数,整式的加减,动点问题,四边形,平面直角坐标系,分式,整式的乘除与分解因式,相交线与平行线,等比数列,投影与视图,幂的计算,添括号去括号,全等三角形,证明题,轴对称,平方根,立方根,二次方程,二次根式,旋转,二元一次方程组,单项式,恒等变换,数列,圆,合并同类项,相反数
3314,设a，b，c，d为正整数，且a^5=b^4，c^3=d^2，c-a=19，求d-b的值．,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3315,当x=-2时，代数式x^2+x+1的值是．,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3316,当x=2时，代数式frac12x^2-x+3的值为．,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3317,已知：当x=1时，代数式ax^3+bx+5的值为-9，那么当x=-1时，代数式ax^3+bx+5的值为．,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3318,已知当x=-3时，代数式ax^3+bx+1的值为8，那么当x=3时，代数式ax^3+bx+1的值为．,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
3319,当销售单价定为每千克55元时，计算月销售量和月销售利润．,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3320,当销售单价定位每千克55元时，计算月销售量和月销售利润；,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3321,"对于三个数a、b、c，用min a,b,c 表示这三个数中最小的数，例如，min-1,2,3=-1，min -1,2,a=a( aleqslant -1 )或-1(a>-1 )．那么观察图象，可得到min x+1,2-x,2x-1的最大值为
",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3322,"对于三个数a，b，c，用min(a，b，c)表示这三个数中最小的数，例如，min (-1，2，3)=-1,min (-1，2，a)=begincasesa(aleqslant -1)  -1(a>-1) endcases，那么观察图象，

可得到min (x+1，2-x，2x-1)的最大值为．",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3323,当x=-frac12，y=-3时，求代数式3(x^2-2xy)-[3x^2-2y+2( xy+y )]的值．,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3324,化简求值，已知：(x-3)^2+| y+2 |=0，求代数式2x^2+(-x^2-2xy+2y^2)-2(x^2-xy+2y^2)的值.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3325,已知a、b互为相反数，c、d互为倒数，| m |=3，求fraca+bm-cd+m的值．,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3326,已知a、b互为相反数，c、d互为倒数，| m |=2，求代数式2m-( a+b-1 )+3cd的值．,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3327,“a的2倍与b的和”用代数式正确表示是（　　）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3328,a与b的平方的和可表示为（　　）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3329,若该户居民4、5两个月共用水14m^3(5月份用水量超过4月份)，设4月份用水xm^3，求该户居民4、5两个月共缴水费多少元？(用含x的式子表示，并化简),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3330,若该户居民3月份用水量am^3(其中6  <  aleqslant 10)，则应收水费多少元？(用含a的式子表示，并化简),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3331,已知a-b=1，则代数式2a-2b-3的值是．,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3332,已知a-b=2，则代数式2b-2a+3的值是．,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3333,1米长的小棒，第1次截去一半，第2次截去剩下的一半，如此下去，第6次后剩下的小棒长为米．,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3334,一根2米长的绳子，第一次剪去一半，第二次剪去剩下的一半，如此剪下去，第六次后剩下的绳子的长度是米．,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3335,如果定义新运算“※”，满足a※b=atimes b-adiv b，那么1※2=．,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3336,"如图，已知直线y=2x+4与x轴交于点A，与y轴交于点B，以点A为圆心，AB为半径画弧，交x轴正半轴于点C，则点C的坐标为（  　） 
",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3337,"如图，已知直线l:y=fracsqrt33x，过点A( 0,1 )作y轴的垂线交直线l于点B，过点B作直线l的垂线交y轴于点A_1；过点A_1作y轴的垂线交直线l于点B_1，过B_1作直线l的垂线交y轴于点A_2；…；按此作法继续下去，则点A_4的坐标为(　　)
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3338,"如果将点P绕定点M旋转180^circ 后与点Q重合，那么称点P与点Q关于点M对称，定点M叫做对称中心，此时，点M是线段PQ的中点．如图，在直角坐标系中，triangle ABO的顶点A，B，O的坐标分别为( 1,0 )，( 0,1 )，( 0,0 )，点P_1，P_2，P_3，cdots中相邻两点都关于triangle ABO的一个顶点对称，点P_1与点P_2关于点A对称，点P_2与点P_3关于点B对称；点P_3与点P_4关于点O对称，点P_4与点P_5关于点A对称，点P_5与点P_6关于点B对称，点P_6与点P_7关于点O对称，cdots对称中心分别是A，B，O，A，B，O，cdots且这些对称中心依次循环，已知P_1的坐标是( 1,1 )．试写出点P_2，P_7，P_100的坐标．
",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3339,"如图，在平面直角坐标系中，点A、B、C的坐标分别是(-1,-1)、(0,2)、(2,0)，点P在y轴上，且坐标为(0,-2)．点P关于点A的对称点为P_1，点P_1关于点B的对称点为P_2，点P_2关于点C的对称点为P_3，点P_3关于点A的对称点为P_4，点P_4关于点B的对称点为P_5，点P_5关于点C的对称点为P_6，点P_6关于点A的对称点为P_7，cdots，按此规律进行下去，则点P_2013的坐标是
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3340,"若( 2x+sqrt3 )^4=a_0+a_1x+a_2x^2+a_3x^3+a_4x^4，则( a_0+a_2+a_4 )^2-( a_1+a_3 )^2=
【追问】若( 2x+sqrt3 )^4=a_0+a_1( 1+x )+a_2( 1+x )^2+a_3( 1+x )^3+a_4( 1+x )^4，则a_0的值为．",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3341,"如图，动点P从( 0,3 )出发，沿所示的方向运动，每当碰到长方形的边时反弹，反弹时反射角等于入射角，第一次碰到长方形的边时的位置为P_1( 3,0 )，当点P第2018次碰到长方形的边时，点P的坐标为
",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3342,"如图，动点P从(0，3)出发，沿所示方向运动，每当碰到矩形的边时反弹，反弹时反射角等于入射角，当点P第2015次碰到矩形的边时，点P的坐标为
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3343,"用代数式表示：(1)x的2倍与y的差：
(2)x的倒数与y的和：
(3)m与n的平方和：
(4)三个连续奇数，中间一个是2n+1，则最小的一个奇数是．",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3344,利用(m+n)与x的函数关系式求(m+n)的最值，最大值为．,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3345,已知实数a、b满足(a+b)^2=1，(a-b)^2=25，求a^2+b^2+ab的值．,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3346,已知实数a、b满足(a+b)^2=1，(a-b)^2=25，求a^2+b^2+ab的值．,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3347,下列式子正确的是(　　),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3348,"从图1到图2的变化过程可以发现等式结论是(　　)
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3349,在(1)的条件下，点A以每秒2个单位长度沿数轴向左运动，点B以每秒2个单位长度沿数轴向右运动，当点A运动到-6所在的点处时，求A，B两点间距离．,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3350,"如图，数轴上的A，B，C三点所表示的数分别是a，b，c，其中AB=BC，如果| a | > | b | > | c |，那么该数轴的原点O的位置应该在(　　)
",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3351,"按如图所示的运算程序，能使输出的结果为12的是(　　)
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3352,"按如图所示的运算程序，能使输出结果为12的是(　　)
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3353,已知x+y=a，求( 2x+2y )^3．,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3354,已知(x+y)^2-2x-2y+1=0，求(x+y)^999的值．,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3355,小王再就业，做起了小商品生意，第一次进货时，他以每件a元的价格购进了20件甲种小商品，每件b元的价格购进了30件乙种小商品（a>b）；回来后，根据市场行情，他将这两种小商品都以每件fraca+b2元的价格出售，在这次买卖中，小王是(　　),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3356,"小红要购买珠子串成一条手链，黑色珠子每个a元，白色珠子每个b元，要串成如图所示的手链，小红购买珠子应该花费(　　)
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3357,已知代数式x-2y的值是3，则代数式1-x+2y的值是(　　),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3358,如果2x-y=3，那么代数式4-2x+y的值为(　　),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3359,"如图钢架中，angle A=14^circ  ，依次焊上等长的钢条P_1P_2，P_2P_3，ldots 来加固钢架，这样的钢条最多能焊(　　)根．
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3360,已知( 2x-1 )^4=a_0+a_1( x-1 )+a_2( x-1 )^2+a_3( x-1 )^3+a_4( x-1 )^4，则a_2=(　　),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3361,已知a_n=frac1(n+1)^2(n=1，2，3，cdots )，记b_1=2(1-a_1)，b_2=2(1-a_1)(1-a_2)，cdots，b_n=2(1-a_1)(1-a_2)cdots (1-a_n)，则通过计算推测出b_n的表达式b_n=．（用含n的代数式表示）,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3362,设a_1，a_2，a_3cdot cdot cdot cdot cdot cdot 是一列正整数，其中a_1表示第一个数，a_2表示第二个数，依此类推，a_n表示第n个数(n是正整数)．已知a_1=1，4a_n=( a_n+1-1 )^2-( a_n-1 )^2，则a_2018=．,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3363,已知x-3y=-3，则5-x+3y的值是(　　),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3364,已知x-2y=-2，则3-x+2y的值是(　　),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3365,某商品原价为p元，由于供不应求，先提价10%进行销售，后因供应逐步充足，价格又一次性降价10%，则最后的实际售价为(　　),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3366,有一组等式，第1、第~2、第3个等式分别为：1times frac12=1-frac12，2times frac23=2-frac23，3times frac34=3-frac34，按照这个规律，请写出第n个等式(ngeqslant 1，且n为整数)：．,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3367,写出表示阴影部分面积的代数式(结果要求化简)．,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3368,求a=4时，阴影部分的面积．,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3369,当x=30时，你能给出一种更为省钱的购买方案吗？试写出你的购买方法．,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3370,若该客户按方案一购买，需付款元．（用含x的代数式表示）,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3371,下列说法：①-a一定是负数；②| -a |一定是正数；③倒数等于它本身的数是pm 1；④绝对值等于它本身的数是1；⑤平方等于它本身的数是1．其中正确的个数是(　　),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3372,下列说法:①-a一定是负数；②| -a |一定是正数；③倒数等于它本身的数是±1；④绝对值等于它本身的数是0和1.其中正确的个数是(　　),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3373,当x=-1时，代数式3x+1的值是(　　),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3374,当a=2与a=-2时，代数式a^4-2a^2+3的两个值(　　),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3375,某地对居民用电的收费标准为：每月如果不超过100度，那么每度电价按a元收费，如果超过100度，超出部分电价按b元收费，某户居民一个月用电160度，该户居民这个月应交纳电费是元(用含a、b的代数式表示)．,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3376,某地对居民用电收费采用阶梯电价，具体收费的标准为：每月如果不超过90度，那么每度电价按a元收费，如果超过90度，超出部分电价按b元收费，某户居民一个月用电120度，该户居民这个月应交纳电费是元(用含a、b的代数式表示)．,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3377,有一个两位数，十位数字为a，个位数字为b，若将十位数字和个位数字调换，那么新的两位数可表示为(　　),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3378,一个两位数，个位数字为a，十位数字为b，则这个两位数可以用代数式表示为(　　),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3379,某校去年初一招收新生x人，今年比去年增加20%，用代数式表示今年该校初一学生人数为．,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3380,今年学校运动会参加的人数是m人，比去年增加10%，那么去年运动会参加的人数为(　　)人．,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3381,"如图是一个运算程序的示意图，若开始输入x的值为81，则第2014次输出的结果为(　　)  
",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3382,"如图，是一个运算程序的示意图，若开始输入x的值为81，则第2018次输出的结果是(　　)
",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3383,"写出A_1，B_1，C_1的坐标(直接写出答案)，  
A_1．",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3384,写出A_1，B_1，C_1的坐标(直接写出答案)， A_1 .,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3385,"长方形ABCD的一组邻边长为a，b-c，长方形EFGH的一组邻边长为b，a-c( a>b>c>0 )．按如图所示的方式重叠后两阴影部分的面积分别为S_1，S_2，则S_1
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
